videoId;author;text;publishedAt;likeCount;search_keyword;video_title;;;;
Th_G-abA5sw;@RafAdifero;kalau dana mepet lcgc mending ambil low mpv bekas macam Avanza atau Ertiga, jelas lebih bertenaga iritnya jg sama;2025-01-29T02:45:32Z;1;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@Fanzary;klo s presso;2025-01-28T22:54:35Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@rendyoktavianus2887;POV pas isi bensin cek;2025-01-28T09:40:35Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@MitraHaloho;Beberapa kawan pengguna sih ngeluh pas k parkiran mall;2025-01-27T18:07:41Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@masodi6970;Ekspestasi dilapangan gx gtu jga, tergantung skill dan kemampuan driver, orang yg membawa mobil lcgc sudah pasti tw kebutuhan masing2, yg penting pnya mobil gx pnya utang dan gx bkin pengeluaran bengkak, sudah diperhitungkan dengan matang 😅;2025-01-27T15:10:49Z;9;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@wilmaftft2167;Ya mo gmn lagi kebelinya lcgc 2 row pula. Yg penting bisa ngatasi transportasi di daerah sy yg masuk zona merah ga bisa ojol. Abondemen ojek biasa hampir sama dg bensin mobil dan itu abondemen hanya jemput anak doank. Jd ya lcgc mungilpun sangat bermanfaat. Daerah tempat saya perbukitan yg lumayan curam.;2025-01-25T04:37:38Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@ArisAbdillah-c4n;Drivernya tolol,,,,tanjakan pendek ga bisa nanjak,,,😅;2025-01-22T07:51:14Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@Benedetta619;kalo semua org punya duit banyak ya jg pengen beli inova bukan lcgc yg murah, ini kan karena keterbatasan ekonomi, disyukuri saja walau sering dihina. walau saya gk pake lcgc tpi saya tdk suka merendahakn user lcgc/ org lain, tiap org punya alasannya masing masing;2025-01-22T02:08:38Z;20;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@TraYadi;Driver yg di vidio tolollll;2025-01-19T14:41:02Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@riyanf9473;Innova mobil travel itu enakan pajerola drpda innova;2025-01-19T13:26:09Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@Abang_jagoff;mobil  lcgc  langsung panik;2025-01-19T09:04:57Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@ACHMAD_DIMAS_SATRIA;Bner sihh😂😂,bukannya menghina tpi aku juga user fwd suka gtu😂apalagi tanjakan licin;2025-01-18T09:06:44Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@jaycamping9266;LCGC GUA MUAT ENAM ORANG DEWASA PLUS 2 ANAK KECIL KE DIENG PULANG PERGI SELAMET ALHAMDULLILAH.;2025-01-17T09:26:18Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
Th_G-abA5sw;@witausfa9027;Mobil saya LCGC  , tapi bisa menanjak , naik bukit asalkan jgn terbenam di lumpur 😁🤭;2025-01-17T01:56:40Z;0;Mobil LCGC;POV : LCGC vs mobil cc besar ketika ditanjakan curam;;;;
